station_id,station_name,coord1_latitude,coord1_longitude,coord1_name,coord2_latitude,coord2_longitude,coord2_name,temperature,humidity,observation_time,location,weather,wind_speed,wind_direction,air_pressure
466940,基隆,25.135104,121.732242,TWD67,25.133314,121.740475,WGS84,16.1,81.0,2026-03-03T18:00:00+08:00,基隆市仁愛區,陰,5.6,30.0,1015.8
466900,淡水,25.166664,121.440672,TWD67,25.164889,121.448906,WGS84,15.1,89.0,2026-03-03T18:00:00+08:00,新北市淡水區,陰,3.1,30.0,1016.4
466881,新北,24.96099,121.516977,TWD67,24.959207,121.525196,WGS84,15.1,92.0,2026-03-03T18:00:00+08:00,新北市新店區,陰,2.4,70.0,1016.0
466930,陽明山,25.163858,121.536313,TWD67,25.162078,121.544547,WGS84,11.2,95.0,2026-03-03T18:00:00+08:00,臺北市北投區,陰,6.4,20.0,947.6
466910,鞍部,25.184365,121.521495,TWD67,25.182586,121.529731,WGS84,9.6,100.0,2026-03-03T18:00:00+08:00,臺北市北投區,陰有雨,1.8,360.0,-99.0
467571,新竹,24.830335,121.006343,TWD67,24.828575,121.01445,WGS84,16.4,80.0,2026-03-03T18:00:00+08:00,新竹縣竹北市,陰,3.5,20.0,1013.6
467490,臺中,24.147494,120.675919,TWD67,24.145736,120.684075,WGS84,18.1,78.0,2026-03-03T18:00:00+08:00,臺中市北區,陰,2.2,360.0,1004.4
C0FA30,梧棲,24.257753,120.515211,TWD67,24.256003,120.523381,WGS84,17.3,84.0,2026-03-03T18:00:00+08:00,臺中市梧棲區,陰,7.5,360.0,-99.0
467350,澎湖,23.56722,119.554987,TWD67,23.565503,119.563094,WGS84,19.0,82.0,2026-03-03T18:00:00+08:00,澎湖縣馬公市,陰,7.3,30.0,1014.0
467650,日月潭,23.883099,120.899911,TWD67,23.881325,120.90805,WGS84,16.6,100.0,2026-03-03T18:00:00+08:00,南投縣魚池鄉,陰有霧,0.6,240.0,-99.0
467530,阿里山,23.509984,120.805129,TWD67,23.508208,120.813242,WGS84,8.9,100.0,2026-03-03T18:00:00+08:00,嘉義縣阿里山鄉,多雲,0.5,30.0,-99.0
467550,玉山,23.488964,120.951318,TWD67,23.48718,120.95943,WGS84,0.8,90.0,2026-03-03T18:00:00+08:00,南投縣信義鄉,陰,7.7,300.0,-99.0
467480,嘉義,23.497684,120.424796,TWD67,23.495925,120.432906,WGS84,18.1,90.0,2026-03-03T18:00:00+08:00,嘉義市西區,陰,2.9,10.0,1010.9
467410,臺南,22.995039,120.196846,TWD67,22.99328,120.20492,WGS84,20.0,82.0,2026-03-03T18:00:00+08:00,臺南市中西區,多雲,3.8,350.0,1011.1
467441,高雄,22.732201,120.304459,TWD67,22.730432,120.312516,WGS84,21.6,85.0,2026-03-03T18:00:00+08:00,高雄市楠梓區,陰,1.2,320.0,1012.3
467590,恆春,22.0057,120.738326,TWD67,22.003897,120.746339,WGS84,22.0,73.0,2026-03-03T18:00:00+08:00,屏東縣恆春鎮,多雲,5.5,40.0,1010.8
467080,宜蘭,24.765773,121.748322,TWD67,24.763975,121.756528,WGS84,15.6,92.0,2026-03-03T18:00:00+08:00,宜蘭縣宜蘭市,陰,1.4,50.0,1018.3
466990,花蓮,23.976933,121.605126,TWD67,23.975128,121.613275,WGS84,18.9,74.0,2026-03-03T18:00:00+08:00,花蓮縣花蓮市,陰,6.7,40.0,1015.1
